Running all from sudokus_start
It spend 0.0043 seconds
It spend 0.0036 seconds
It spend 0.0058 seconds
It spend 0.3946 seconds
It spend 0.0670 seconds
It spend 0.0677 seconds
It spend 0.0104 seconds
It spend 0.2036 seconds
It spend 0.0818 seconds
It spend 0.3067 seconds
It spend 0.0085 seconds
It spend 0.0274 seconds
It spend 0.0276 seconds
It spend 0.2239 seconds
It spend 0.0357 seconds
It spend 0.0453 seconds
It spend 0.0257 seconds
It spend 0.0088 seconds
It spend 0.0308 seconds
It spend 0.0189 seconds
It spend 0.0319 seconds
It spend 0.0194 seconds
It spend 0.1087 seconds
It spend 0.0707 seconds
It spend 0.0407 seconds
It spend 0.0082 seconds
It spend 0.0556 seconds
It spend 0.0094 seconds
It spend 0.0608 seconds
It spend 0.3231 seconds
It spend 0.2117 seconds
It spend 0.0167 seconds
It spend 0.1030 seconds
It spend 0.1257 seconds
It spend 0.0058 seconds
It spend 0.0140 seconds
It spend 0.0209 seconds
It spend 0.1924 seconds
It spend 0.0147 seconds
It spend 0.0193 seconds
It spend 0.0085 seconds
It spend 0.0542 seconds
It spend 0.0170 seconds
It spend 0.0056 seconds
It spend 0.0087 seconds
It spend 0.0312 seconds
It spend 0.0123 seconds
It spend 0.0118 seconds
It spend 0.0186 seconds
It spend 0.0153 seconds
It spend 0.0358 seconds
It spend 0.1324 seconds
It spend 0.0052 seconds
It spend 0.0262 seconds
It spend 0.0268 seconds
It spend 0.0451 seconds
It spend 0.0418 seconds
It spend 0.0330 seconds
It spend 0.0095 seconds
It spend 0.0197 seconds
It spend 0.1894 seconds
It spend 0.0275 seconds
It spend 0.0332 seconds
It spend 0.0131 seconds
It spend 0.0515 seconds
It spend 0.0189 seconds
It spend 0.2086 seconds
It spend 0.0138 seconds
It spend 0.4656 seconds
It spend 0.0114 seconds
It spend 0.0106 seconds
It spend 0.0383 seconds
It spend 0.0222 seconds
It spend 0.0488 seconds
It spend 0.0069 seconds
It spend 0.0117 seconds
It spend 0.0732 seconds
It spend 0.0257 seconds
It spend 0.0121 seconds
It spend 0.0065 seconds
It spend 0.0432 seconds
It spend 0.0055 seconds
It spend 0.0130 seconds
It spend 0.0114 seconds
It spend 0.0259 seconds
It spend 0.0054 seconds
It spend 0.0075 seconds
It spend 0.0107 seconds
It spend 0.0073 seconds
It spend 0.0088 seconds
It spend 0.0307 seconds
It spend 0.0307 seconds
It spend 0.0116 seconds
It spend 0.0093 seconds
It spend 0.0118 seconds
It spend 0.0941 seconds
It spend 0.0124 seconds
It spend 0.1627 seconds
It spend 0.0134 seconds
It spend 0.0309 seconds
It spend 0.0944 seconds
It spend 0.0092 seconds
It spend 0.0069 seconds
It spend 0.2819 seconds
It spend 0.0171 seconds
It spend 0.0074 seconds
It spend 0.0154 seconds
It spend 0.0077 seconds
It spend 0.0224 seconds
It spend 0.0063 seconds
It spend 0.0143 seconds
It spend 0.0444 seconds
It spend 0.0418 seconds
It spend 0.0327 seconds
It spend 0.0134 seconds
It spend 0.0061 seconds
It spend 0.0061 seconds
It spend 0.0543 seconds
It spend 0.0087 seconds
It spend 0.1028 seconds
It spend 0.0439 seconds
It spend 0.0387 seconds
It spend 0.0081 seconds
It spend 0.0295 seconds
It spend 0.0284 seconds
It spend 0.1003 seconds
It spend 0.0495 seconds
It spend 0.0341 seconds
It spend 0.0119 seconds
It spend 0.0063 seconds
It spend 0.0231 seconds
It spend 0.0053 seconds
It spend 0.0092 seconds
It spend 0.0069 seconds
It spend 0.1082 seconds
It spend 0.0110 seconds
It spend 0.0104 seconds
It spend 0.1211 seconds
It spend 0.0116 seconds
It spend 0.0435 seconds
It spend 0.0075 seconds
It spend 0.0075 seconds
It spend 0.0107 seconds
It spend 0.0058 seconds
It spend 0.1948 seconds
It spend 0.0055 seconds
It spend 0.0161 seconds
It spend 0.0159 seconds
It spend 0.0103 seconds
It spend 0.0294 seconds
It spend 0.1020 seconds
It spend 0.0340 seconds
It spend 0.0435 seconds
It spend 0.0239 seconds
It spend 0.0226 seconds
It spend 0.1398 seconds
It spend 0.0309 seconds
It spend 0.0089 seconds
It spend 0.0070 seconds
It spend 0.0049 seconds
It spend 0.0329 seconds
It spend 0.0174 seconds
It spend 0.1386 seconds
It spend 0.0100 seconds
It spend 0.0268 seconds
It spend 0.0314 seconds
It spend 0.0116 seconds
It spend 0.0124 seconds
It spend 0.0098 seconds
It spend 0.0315 seconds
It spend 0.0083 seconds
It spend 0.0081 seconds
It spend 0.0831 seconds
It spend 0.0065 seconds
It spend 0.0176 seconds
It spend 0.0251 seconds
It spend 0.0382 seconds
It spend 0.0075 seconds
It spend 0.0446 seconds
It spend 0.0095 seconds
It spend 0.0156 seconds
It spend 0.0288 seconds
It spend 0.1617 seconds
It spend 0.0602 seconds
It spend 0.2126 seconds
It spend 0.0678 seconds
It spend 0.0306 seconds
It spend 0.0092 seconds
It spend 0.0067 seconds
It spend 0.0625 seconds
It spend 0.0290 seconds
It spend 0.1695 seconds
It spend 0.0213 seconds
It spend 0.1231 seconds
It spend 0.0863 seconds
It spend 0.0790 seconds
It spend 0.0215 seconds
It spend 0.0376 seconds
It spend 0.0100 seconds
It spend 0.0079 seconds
It spend 0.0092 seconds
It spend 0.0123 seconds
It spend 0.0167 seconds
It spend 0.0196 seconds
It spend 0.0250 seconds
It spend 0.0091 seconds
It spend 0.0450 seconds
It spend 0.0050 seconds
It spend 0.0104 seconds
It spend 0.0585 seconds
It spend 0.0384 seconds
It spend 0.0146 seconds
It spend 0.0082 seconds
It spend 0.0223 seconds
It spend 0.0168 seconds
It spend 0.0192 seconds
It spend 0.0418 seconds
It spend 0.0149 seconds
It spend 0.0085 seconds
It spend 0.0205 seconds
It spend 0.1637 seconds
It spend 0.0406 seconds
It spend 0.0248 seconds
It spend 0.0739 seconds
It spend 0.0173 seconds
It spend 0.0495 seconds
It spend 0.0969 seconds
It spend 0.0510 seconds
It spend 0.0181 seconds
It spend 0.0052 seconds
It spend 0.0254 seconds
It spend 0.0054 seconds
It spend 0.0270 seconds
It spend 0.0275 seconds
It spend 0.1614 seconds
It spend 0.0457 seconds
It spend 0.0266 seconds
It spend 0.0229 seconds
It spend 0.0600 seconds
It spend 0.0592 seconds
It spend 0.0239 seconds
It spend 0.0225 seconds
It spend 0.2001 seconds
It spend 0.0053 seconds
It spend 0.0056 seconds
It spend 0.0637 seconds
It spend 0.0051 seconds
It spend 0.0811 seconds
It spend 0.1907 seconds
It spend 0.0320 seconds
It spend 0.1863 seconds
It spend 0.0309 seconds
It spend 0.0351 seconds
It spend 0.0202 seconds
It spend 0.0725 seconds
It spend 0.0066 seconds
It spend 0.0102 seconds
It spend 0.0146 seconds
It spend 0.0287 seconds
It spend 0.1510 seconds
It spend 0.1229 seconds
It spend 0.0719 seconds
It spend 0.0073 seconds
It spend 0.1141 seconds
It spend 0.0104 seconds
It spend 0.1004 seconds
It spend 0.0903 seconds
It spend 0.0137 seconds
It spend 0.0298 seconds
It spend 0.0333 seconds
It spend 0.0090 seconds
It spend 0.0167 seconds
It spend 0.0150 seconds
It spend 0.0454 seconds
It spend 0.0253 seconds
It spend 0.0141 seconds
It spend 0.0105 seconds
It spend 0.1416 seconds
It spend 0.1052 seconds
It spend 0.0697 seconds
It spend 0.0106 seconds
It spend 0.0116 seconds
It spend 0.0276 seconds
It spend 0.0208 seconds
It spend 0.0670 seconds
